Name,Quantity,Unit Cost (INR) (without tax),Cost (INR) (without tax),USD ( without tax ),Link
 Raspberry Pi Pico W,1,840,840,9.230769231,https://thinkrobotics.com/products/raspberry-pi-pico-w-online?variant=44615124386109&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOor-PcjZTxr44y8CzeFaVnOJnqQjT77XSMV-Ytf8xSOznwvbq3vgZsA
 1.3 OLED Display ,1,314,314,3.568181818,https://robu.in/product/1-3-oled-display-v2/
Mechanical Switches,6,20,120,1.363636364,https://www.thecosmicbyte.com/product/gateron-mechanical-switches-compatible-with-cosmic-byte-hot-swappable-keyboards-qty-1pc/?attribute_pa_switch-type=blue-switch&utm_source=Google%20Shopping&utm_campaign=googlefeeds&utm_medium=cpc&utm_term=46895
Rotary Encoder  ,1,50,50,0.5681818182,https://robu.in/product/m274-360-degree-rotary-encoder-module-brick-sensor/
1500mAh Li-ion battery ,1,445,445,5.056818182,https://robu.in/product/wly103443-1500mah-3-7v-single-cell-rechargeable-lipo-battery/
TP4056 charging module ,1,13,13,0.1477272727,https://robu.in/product/tp4056-1a-lipo-battery-charging-board-micro-usb-with-current-protection/
Total,,,1782,19.93531469,
